user_id,first_name,last_name,is_active,status,sex,birthdate,created_date,newsletter_consent,email,address
182235268,Danielle,Higgins,True,,F,1993-05-08,2021-01-11,True,danielle.higgins@gmail.com,"403 Dunn Falls Suite 984
West Vincentland, KS 16271"
757015107,Thomas,Rodriguez,True,,M,1997-12-09,2020-03-28,True,thomas.rodriguez@gmail.com,"PSC 1717, Box 0044
APO AP 54654"
946090149,Mary,Moyer,True,,F,1986-12-23,2020-09-22,False,mary.moyer@gmail.com,"35279 Philip Coves Suite 163
Brianborough, UT 75545"
189330238,Michael,Miller,True,,M,1993-12-08,2021-12-24,True,michael.miller@gmail.com,"4949 Janice Divide Apt. 078
Jameshaven, MA 16323"
236537542,Laura,Hayden,True,,F,1965-01-10,2021-02-10,False,laura.hayden@hotmail.com,"Unit 5058 Box 4472
DPO AE 17221"
863410300,Nancy,Contreras,True,,F,1977-02-13,2020-06-16,True,nancy.contreras@yahoo.com,"351 Maria Club
New Scott, NJ 70071"
387635488,Joseph,Nixon,True,,M,1993-05-30,2021-09-09,False,joseph.nixon@hotmail.com,"4929 Lawrence Inlet Apt. 809
Pattyshire, NJ 26185"
405749358,Richard,Lewis,True,,M,1983-08-15,2021-02-14,True,richard.lewis@hotmail.com,"16883 Anthony Garden Apt. 060
East Caitlin, OR 62545"
393131509,Stacy,Hogan,True,,F,2003-02-15,2020-08-09,True,stacy.hogan@yahoo.com,"0144 Brittany Radial Apt. 907
Kimland, CT 33006"
488500774,Charles,Roberts,True,,M,1980-05-22,2021-05-28,True,charles.roberts@gmail.com,"04325 Carrillo Divide
Greerhaven, UT 27514"
829261524,Jonathon,Sellers,True,,M,1990-07-09,2020-08-03,True,jonathon.sellers@gmail.com,"647 Catherine Neck
Leeview, LA 59022"
418648395,Tammy,Brennan,True,,F,1958-03-12,2021-06-03,False,tammy.brennan@hotmail.com,"6997 Robinson Cliff
Jeremiahbury, NY 70845"
611721952,Johnathan,Martinez,True,,M,1991-02-08,2022-04-07,False,johnathan.martinez@hotmail.com,"USCGC Fernandez
FPO AP 40271"
302134741,Anne,Lin,True,,F,1961-08-22,2020-12-31,False,anne.lin@gmail.com,"Unit 3871 Box 7767
DPO AA 84938"
719586802,Collin,Moore,True,VIP,M,1958-06-24,2019-06-30,False,collin.moore@gmail.com,"017 Smith Plain
West Thomashaven, OH 92719"
212283186,Ricky,Johnson,True,,M,2001-05-19,2019-08-25,True,ricky.johnson@hotmail.com,"280 Perez Drive Suite 544
East Wayne, LA 87173"
417620479,Marcus,Johnson,True,,M,1989-07-09,2019-05-27,False,marcus.johnson@gmail.com,"600 Jackson Fields Apt. 103
East Judy, AZ 83722"
